empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,left
992,0.76,0.91,4,219,5,0,0,low,1
2978,0.66,0.95,3,133,3,0,0,low,0
4278,0.95,0.58,3,193,2,0,0,medium,0
1479,0.36,0.56,2,159,3,0,0,medium,1
3123,0.84,0.68,3,231,3,0,0,low,0
487,0.38,0.49,2,135,3,0,0,low,1
1602,0.68,0.62,5,198,5,1,0,low,1
1840,0.36,0.49,2,147,3,0,0,low,1
1685,0.38,0.49,2,128,3,0,0,low,1
3307,0.63,0.64,4,212,4,0,0,medium,0
175,0.7,0.53,2,274,4,0,0,low,1
2128,0.74,0.58,4,148,2,0,0,medium,0
3759,0.81,0.8,4,227,2,1,0,low,0
3016,0.91,0.76,3,116,5,0,0,low,0
1713,0.36,0.51,2,157,3,0,0,medium,1
2657,0.67,0.59,3,177,3,1,0,low,0
4916,0.65,0.78,4,238,5,1,0,low,0
1822,0.11,0.88,6,294,4,0,0,medium,1
3644,1.0,0.73,3,205,2,0,0,medium,0
4748,0.78,0.58,3,224,2,0,0,medium,0
247,0.37,0.48,2,159,3,0,0,low,1
3803,0.95,0.87,3,208,2,0,0,high,0
4062,0.49,0.54,4,173,2,0,0,low,0
1387,0.09,0.93,7,270,4,0,0,medium,1
3684,0.71,0.69,3,172,3,0,0,low,0
3569,0.96,0.71,4,210,3,0,0,medium,0
729,0.43,0.49,2,160,3,0,0,medium,1
3479,0.49,0.76,3,208,2,0,0,low,0
1793,0.41,0.51,2,156,3,0,0,medium,1
3052,0.84,0.47,3,125,4,0,0,low,0
2879,0.74,0.59,4,155,3,0,0,medium,0
4975,0.14,0.81,4,138,3,1,0,high,0
4136,0.16,0.74,5,205,4,1,0,low,0
2198,0.9,0.79,4,150,2,0,0,low,0
2489,0.6,0.5,3,274,3,0,0,medium,0
3580,0.71,0.36,4,278,4,1,0,high,0
264,0.11,0.78,6,260,4,0,0,medium,1
2976,0.95,0.61,3,267,2,0,0,low,0
663,0.78,0.89,5,274,6,0,0,medium,1
2456,0.47,0.57,3,162,3,1,0,medium,0
2564,0.96,0.81,3,212,3,0,0,medium,0
1785,0.43,0.51,2,149,3,1,0,medium,1
450,0.81,0.92,5,239,5,0,0,low,1
3070,0.98,0.57,3,198,3,0,0,medium,0
2516,0.73,0.85,5,245,3,0,0,low,0
4774,0.85,0.57,5,190,2,1,0,medium,0
4456,0.68,1.0,6,258,5,0,0,low,0
2187,0.83,0.54,3,149,3,0,0,low,0
4956,0.93,0.66,4,228,3,0,0,low,0
2035,0.82,0.79,4,224,2,0,0,low,0
4732,0.93,0.51,3,196,2,0,1,medium,0
1056,0.1,0.8,7,292,5,0,0,low,1
936,0.44,0.49,2,130,3,0,0,medium,1
2993,0.86,0.58,4,211,4,0,0,medium,0
408,0.09,0.94,6,257,4,0,0,low,1
4764,0.23,0.59,5,245,5,0,0,low,0
4899,0.95,0.52,3,144,3,0,0,medium,0
3635,0.58,0.97,3,265,3,0,0,medium,0
4802,0.17,0.91,4,260,5,0,0,low,0
2525,0.65,0.67,5,128,5,0,0,medium,0
4825,0.62,0.54,3,142,2,0,0,medium,0
3662,0.78,0.79,5,233,3,1,0,high,0
1505,0.86,0.91,5,245,5,0,0,medium,1
2864,0.77,0.67,3,186,2,0,0,low,0
3800,0.8,0.67,3,164,3,0,0,high,0
1566,0.1,0.86,7,261,5,0,0,low,1
1101,0.11,0.83,6,262,4,0,0,low,1
2824,0.75,0.89,3,196,3,0,0,low,0
4943,0.28,0.51,3,124,3,0,0,low,0
1624,0.39,0.53,2,153,3,0,0,medium,1
661,0.44,0.5,2,130,3,0,0,medium,1
3137,0.91,0.54,3,210,2,0,0,low,0
4519,0.53,0.59,3,231,2,0,0,low,0
613,0.37,0.47,2,138,3,1,0,medium,1
4192,0.61,0.64,3,245,2,0,0,medium,0
3198,0.94,0.77,5,210,3,0,0,high,0
144,0.37,0.47,2,152,3,0,0,low,1
3782,0.63,0.79,4,228,4,0,0,low,0
1748,0.39,0.48,2,159,3,0,0,medium,1
1294,0.72,1.0,2,240,2,0,0,low,1
2653,0.86,0.98,5,233,3,0,0,low,0
3439,0.74,0.7,4,167,3,1,0,low,0
3142,0.84,0.41,6,255,6,1,0,medium,0
2838,0.72,0.68,5,266,4,0,0,medium,0
3046,0.9,0.69,4,174,2,0,0,low,0
641,0.37,0.52,2,128,3,0,0,low,1
2207,0.16,0.98,5,284,5,0,0,medium,0
1699,0.1,0.8,6,292,4,0,0,medium,1
516,0.88,1.0,5,219,6,1,0,low,1
774,0.42,0.54,2,159,3,0,0,medium,1
3931,0.89,0.52,3,164,3,0,0,high,0
4266,0.74,0.37,6,200,3,0,0,low,0
1901,0.76,0.98,5,217,6,0,0,medium,1
2513,0.22,0.81,5,205,4,0,0,low,0
1042,0.81,0.84,5,258,5,0,0,medium,1
1088,0.73,0.92,4,273,5,0,0,low,1
697,0.1,0.81,7,291,4,0,0,high,1
1227,0.4,0.48,2,142,3,0,0,low,1
343,0.9,1.0,5,232,5,0,0,medium,1
3520,0.64,0.86,5,274,2,1,0,low,0
3735,0.21,0.56,6,277,5,0,0,medium,0
2190,0.92,0.91,4,222,2,0,0,low,0
1966,0.84,0.94,5,262,5,0,0,low,1
196,0.09,0.8,6,304,4,0,0,low,1
4575,0.7,0.98,4,194,2,0,0,medium,0
4161,0.68,0.91,4,162,3,1,0,medium,0
2676,0.87,0.9,4,214,3,0,0,medium,0
1370,0.11,0.89,6,284,4,0,0,low,1
2973,0.22,0.8,4,287,4,0,0,low,0
4806,0.49,0.61,3,148,2,1,0,low,0
3082,0.97,0.81,3,249,2,0,0,low,0
4050,0.89,0.58,3,183,4,0,0,medium,0
1880,0.43,0.54,2,142,3,0,0,low,1
1198,0.79,0.96,5,218,5,0,0,medium,1
575,0.37,0.49,2,151,3,0,0,medium,1
3639,0.52,0.8,5,257,3,0,0,medium,0
2997,0.88,0.68,4,274,4,0,0,medium,0
3788,0.85,0.9,3,184,3,1,0,low,0
2955,0.98,0.96,5,139,3,0,0,medium,0
298,0.4,0.52,2,147,3,0,0,medium,1
3141,0.66,0.76,3,139,5,0,0,low,0
3184,0.9,0.45,4,241,6,0,0,medium,0
1660,0.77,0.85,5,276,5,0,0,medium,1
4387,0.7,0.55,4,256,4,0,0,medium,0
4801,0.95,0.57,5,216,3,0,0,low,0
3159,0.63,0.64,3,174,2,0,0,medium,0
3530,0.57,0.92,6,267,4,0,0,medium,0
1358,0.45,0.5,2,157,3,0,0,medium,1
8,0.92,0.85,5,259,5,0,0,low,1
2269,0.96,0.67,6,190,3,0,0,low,0
3192,0.79,0.6,5,235,2,0,0,medium,0
1146,0.37,0.49,2,153,3,0,0,low,1
2960,0.55,0.82,2,197,4,0,0,low,0
529,0.09,0.8,6,301,5,0,0,medium,1
4144,1.0,1.0,5,142,4,0,0,low,0
3441,0.96,0.61,3,140,3,0,0,low,0
156,0.11,0.8,6,304,4,0,0,low,1
2816,0.93,0.63,4,143,3,1,0,low,0
598,0.11,0.9,6,263,4,0,0,low,1
4925,0.83,0.95,3,255,3,0,0,medium,0
4538,0.67,0.78,4,241,4,0,1,medium,0
4955,0.8,0.51,5,196,3,0,0,low,0
620,0.43,0.51,2,141,3,0,0,low,1
2201,0.89,0.53,5,272,3,0,0,low,0
4521,0.7,0.44,2,131,2,0,0,low,0
124,0.11,0.84,6,300,5,1,0,low,1
2538,0.56,0.49,5,163,3,0,0,low,0
2885,0.75,0.78,2,251,6,0,0,medium,0
2161,0.46,0.69,2,159,2,0,0,low,0
3705,0.6,0.73,3,191,5,1,0,low,0
2379,0.67,0.64,4,190,2,0,0,medium,0
3163,0.64,0.91,5,246,3,0,0,low,0
578,0.57,0.72,4,275,6,0,0,medium,1
3817,0.7,0.87,5,177,2,0,0,medium,0
2497,0.58,0.69,3,146,4,0,0,low,0
4525,0.78,0.59,4,180,3,0,0,low,0
212,0.39,0.5,4,294,3,0,0,low,1
607,0.38,0.56,2,161,3,0,0,medium,1
858,0.11,0.78,6,303,4,0,0,medium,1
3078,0.81,0.66,3,181,2,1,0,medium,0
2155,0.38,0.94,5,252,5,0,0,low,0
4327,0.5,0.87,3,252,2,0,0,low,0
3066,0.73,0.55,4,171,4,0,0,medium,0
2733,0.56,0.68,5,203,2,0,0,low,0
1351,0.84,0.89,4,245,5,1,0,medium,1
2873,0.85,0.64,4,162,3,0,0,medium,0
4451,0.68,1.0,3,148,4,1,0,low,0
4240,0.98,0.5,4,264,3,0,0,high,0
4007,0.56,0.98,3,220,3,0,0,low,0
2607,0.63,0.78,3,153,3,1,0,medium,0
2714,0.83,0.7,5,154,3,0,0,medium,0
4295,0.52,0.85,3,250,4,0,0,low,0
2318,0.68,0.69,3,185,2,0,0,low,0
426,0.42,0.51,2,136,3,0,0,medium,1
4889,0.79,0.59,5,197,4,0,0,medium,0
3706,0.7,0.91,4,181,2,1,0,low,0
434,0.87,0.84,4,264,6,0,0,low,1
1907,0.2,0.5,5,135,6,0,0,low,1
389,0.45,0.5,2,157,3,0,0,medium,1
1809,0.36,0.48,2,136,3,0,0,low,1
3009,0.6,0.61,4,209,3,0,0,low,0
85,0.11,0.77,6,291,4,0,0,low,1
1471,0.45,0.51,2,155,3,1,0,medium,1
2634,0.78,0.59,3,212,2,0,0,low,0
3168,0.86,0.55,5,219,2,0,0,medium,0
1704,0.73,0.99,6,206,5,0,0,medium,1
3842,0.76,0.61,3,141,2,0,0,medium,0
1662,0.36,0.56,2,140,3,0,0,medium,1
3528,0.52,0.96,4,170,2,0,0,low,0
2699,0.3,0.47,4,176,2,0,0,low,0
204,0.1,0.93,6,256,4,0,0,low,1
959,0.41,0.5,2,153,3,0,0,medium,1
1475,0.79,0.86,5,226,5,0,0,medium,1
2764,0.84,0.99,2,184,2,0,0,high,0
4883,0.84,0.8,3,151,3,1,0,low,0
635,0.82,0.92,5,225,5,0,0,low,1
961,0.39,0.51,2,132,3,0,0,medium,1
1533,0.75,0.98,4,245,5,0,0,low,1
1976,0.46,0.54,2,138,3,0,0,medium,1
1432,0.36,0.5,2,147,3,0,0,medium,1
3824,0.37,0.88,4,155,3,0,0,medium,0
3063,0.76,0.9,5,142,3,0,0,low,0
1922,0.82,0.94,5,236,5,0,0,low,1
4446,0.91,0.91,6,167,2,1,0,low,0
4800,0.37,0.74,2,197,3,0,0,low,0
406,0.47,0.5,4,254,4,0,0,low,1
4369,0.7,0.92,3,162,3,1,0,low,0
1715,0.41,0.56,2,133,3,0,0,medium,1
384,0.38,0.51,2,159,3,0,0,medium,1
3505,0.89,0.66,4,235,3,0,0,high,0
1739,0.86,0.88,5,268,5,0,0,medium,1
3216,0.34,0.63,5,248,3,0,0,low,0
1795,0.38,0.51,2,159,3,0,0,low,1
2263,0.61,0.39,3,99,2,0,0,low,0
4048,0.67,0.81,3,221,4,1,0,medium,0
4705,0.56,0.76,3,134,2,0,0,high,0
447,0.44,0.46,2,143,3,0,0,low,1
3347,0.75,0.68,4,220,2,0,0,medium,0
1594,0.1,0.87,6,307,4,0,0,high,1
3795,0.65,0.7,3,141,4,0,0,low,0
1696,0.78,0.96,5,272,5,0,0,low,1
1376,0.46,0.5,2,141,3,0,0,low,1
1390,0.4,0.49,2,151,3,0,0,medium,1
1835,0.09,0.9,6,295,4,0,0,low,1
4937,0.68,0.44,5,152,5,0,0,low,0
2357,0.99,0.93,4,236,3,0,0,low,0
928,0.46,0.86,2,212,4,0,0,medium,1
364,0.72,0.96,5,267,5,0,0,low,1
655,0.1,0.89,7,308,4,0,0,medium,1
2659,0.76,0.98,2,111,2,0,0,low,0
982,0.44,0.55,2,130,3,1,0,low,1
2147,0.27,0.59,5,226,5,0,0,low,0
1034,0.42,0.56,2,158,3,0,0,low,1
3140,0.55,0.92,3,198,3,0,0,low,0
2776,0.5,0.95,5,194,3,0,0,low,0
4578,0.5,0.48,3,246,3,0,0,medium,0
4641,0.98,0.56,3,157,2,0,0,low,0
565,0.41,0.53,2,157,3,0,0,low,1
1179,0.85,0.89,4,221,5,0,0,low,1
327,0.37,0.52,2,157,3,0,0,low,1
901,0.78,0.94,5,271,6,0,0,low,1
4934,0.96,0.93,4,260,3,0,0,medium,0
1276,0.1,0.83,6,283,5,0,0,medium,1
3364,0.74,0.68,4,194,2,0,0,high,0
127,0.38,0.49,2,132,3,0,0,low,1
894,0.85,0.85,5,267,5,0,0,medium,1
4574,0.75,0.37,3,256,3,0,0,medium,0
3219,0.58,0.91,4,173,4,0,0,low,0
1402,0.11,0.87,6,272,4,0,0,medium,1
4978,0.57,0.56,3,191,3,0,0,medium,0
2684,0.68,0.85,2,180,6,0,0,medium,0
2413,0.67,0.5,4,173,2,1,0,high,0
2660,0.7,0.82,3,178,3,0,0,low,0
2181,0.2,0.72,6,224,4,0,0,medium,0
1288,0.09,0.83,7,258,4,0,0,low,1
2191,0.87,0.52,3,237,3,0,0,low,0
4546,0.82,0.89,4,196,3,0,1,medium,0
4820,0.8,0.91,3,202,2,0,0,medium,0
913,0.8,0.95,4,274,5,0,0,low,1
3480,0.59,0.65,4,219,3,1,0,low,0
852,0.37,0.57,2,128,3,0,0,medium,1
1414,0.83,0.98,4,254,5,0,0,low,1
1845,0.37,0.51,2,154,3,1,0,low,1
3999,0.67,0.82,4,246,4,0,0,medium,0
1113,0.09,0.82,6,251,4,0,0,low,1
3370,0.69,0.53,3,135,2,0,0,low,0
3120,0.61,0.92,4,159,5,0,0,medium,0
1814,0.1,0.81,6,271,4,0,0,low,1
2929,0.82,0.69,4,262,2,0,0,low,0
3497,0.77,0.7,3,155,3,0,0,medium,0
1798,0.44,0.46,2,138,3,0,0,low,1
935,0.1,0.91,6,285,4,0,0,medium,1
4585,0.83,0.53,5,182,2,1,0,medium,0
3021,0.83,0.82,5,179,3,0,0,low,0
1057,0.45,0.56,2,143,3,0,0,low,1
4140,0.92,0.69,4,180,3,0,0,low,0
4733,0.7,0.64,4,178,3,1,1,high,0
2792,0.14,0.9,4,198,4,0,0,medium,0
4071,0.53,0.75,3,232,3,0,0,low,0
1110,0.73,0.86,5,249,5,0,0,low,1
4768,0.87,0.52,3,152,4,0,0,low,0
2934,0.56,0.88,3,174,3,0,0,low,0
715,0.4,0.51,2,144,3,0,0,low,1
3349,0.99,0.9,4,164,3,0,0,high,0
