empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,left
1081,0.86,0.95,4,238,5,0,0,medium,1
1324,0.37,0.52,2,144,3,0,0,medium,1
4731,0.69,0.9,6,224,4,0,1,low,0
1232,0.11,0.98,6,250,4,0,0,medium,1
2561,0.68,0.7,4,185,4,0,0,medium,0
1886,0.1,0.86,6,283,4,0,0,low,1
860,0.1,0.93,6,270,4,0,0,low,1
4223,0.98,0.87,4,152,2,0,0,high,0
1951,0.85,0.85,4,247,6,0,0,low,1
4463,0.65,0.86,4,269,2,1,0,medium,0
4425,0.88,0.71,4,250,3,0,0,medium,0
2631,0.81,0.99,3,239,2,1,0,low,0
543,0.77,0.91,5,236,5,0,0,medium,1
2364,0.92,0.77,4,185,3,0,0,medium,0
1940,0.1,0.79,7,310,4,0,0,medium,1
1051,0.79,1.0,4,229,5,1,0,medium,1
4197,0.87,0.57,2,181,6,0,0,medium,0
2584,0.58,0.83,4,163,3,1,0,low,0
4645,0.71,0.79,3,189,3,0,0,medium,0
4204,0.57,0.68,3,102,6,0,0,medium,0
1763,0.41,0.71,3,205,4,0,0,low,1
832,0.73,1.0,5,274,5,0,0,low,1
2869,0.59,0.75,2,156,3,0,0,medium,0
3164,0.65,0.96,5,173,2,0,0,low,0
4341,0.2,0.57,4,269,5,1,0,low,0
4668,0.62,0.87,6,169,2,1,0,medium,0
965,0.38,0.5,2,150,3,1,0,medium,1
2138,0.52,0.43,2,199,2,0,0,medium,0
3270,0.66,0.93,5,185,3,0,0,medium,0
187,0.09,0.85,6,297,4,0,0,medium,1
2882,0.2,0.77,6,213,4,0,0,low,0
800,0.43,0.5,2,161,3,0,0,low,1
2632,0.31,0.49,4,165,3,1,0,low,0
3653,0.85,0.63,3,167,3,0,0,medium,0
4842,0.68,0.83,3,133,3,0,0,low,0
2436,0.21,0.7,6,130,6,1,0,low,0
1628,0.38,0.57,2,146,3,0,0,medium,1
919,0.11,0.85,6,259,4,0,0,medium,1
2362,0.48,0.61,2,121,2,0,0,medium,0
3892,0.58,0.65,4,248,4,0,0,high,0
4064,0.64,0.85,5,179,2,0,0,low,0
3819,0.39,0.56,6,228,5,0,0,medium,0
4294,0.4,0.59,3,207,6,0,0,high,0
3254,0.95,0.78,4,225,2,0,0,medium,0
753,0.37,0.57,2,129,3,0,0,low,1
2373,0.71,0.74,3,163,3,1,0,medium,0
2359,0.93,0.82,4,175,3,0,0,low,0
1608,0.83,0.88,5,239,5,0,0,low,1
3843,0.44,0.81,3,248,2,0,0,medium,0
4121,0.96,0.55,4,153,3,0,0,medium,0
1728,0.11,0.94,6,266,4,0,0,low,1
2177,0.82,0.73,4,195,5,1,0,medium,0
750,0.86,0.84,4,246,6,0,0,low,1
111,0.43,0.47,2,144,3,0,0,medium,1
3266,0.66,0.8,4,183,2,1,0,medium,0
110,0.4,0.49,2,155,3,0,0,medium,1
3606,0.73,0.81,4,245,2,0,0,low,0
26,0.89,0.92,5,242,5,0,0,low,1
419,0.42,0.53,3,199,4,0,0,medium,1
2913,0.78,0.95,3,270,2,0,0,medium,0
593,0.1,0.8,6,264,4,0,0,low,1
2310,0.62,0.6,3,171,2,0,0,low,0
3953,0.69,0.81,3,214,2,0,0,low,0
238,0.43,0.45,2,135,3,0,0,low,1
4049,0.54,0.42,3,138,3,1,0,medium,0
4741,0.75,0.95,3,253,3,0,0,medium,0
2313,0.51,0.64,3,267,2,0,0,low,0
3845,0.75,0.57,5,162,3,0,0,medium,0
251,0.79,0.87,5,261,5,0,0,low,1
3414,0.85,0.97,3,256,3,0,0,low,0
4470,0.68,0.76,3,190,3,1,0,medium,0
2853,0.56,0.66,3,232,2,0,0,low,0
4838,0.17,0.82,6,259,4,0,0,low,0
2860,0.55,0.77,3,237,2,0,0,low,0
3715,0.72,0.66,3,160,3,0,0,medium,0
3524,0.81,0.84,4,198,2,0,0,low,0
373,0.39,0.48,2,141,3,0,0,medium,1
2669,0.91,0.95,3,251,3,0,0,low,0
4677,0.97,0.79,2,272,2,0,0,medium,0
1240,0.38,0.47,2,152,3,0,0,medium,1
758,0.38,0.55,2,151,3,0,0,low,1
4034,0.94,0.6,4,215,2,1,0,medium,0
424,0.4,0.46,2,143,3,0,0,high,1
4640,0.69,0.64,3,275,3,0,0,low,0
4652,0.99,0.96,4,202,3,0,0,medium,0
4021,0.83,0.69,4,151,2,0,0,low,0
2100,0.61,0.95,5,233,3,0,0,medium,0
4076,0.24,0.54,4,226,4,1,0,medium,0
3506,0.5,0.56,4,266,2,0,0,low,0
1300,0.89,0.89,5,262,5,0,0,low,1
4164,0.63,0.9,2,242,3,1,0,high,0
1412,0.32,0.6,2,280,4,0,0,low,1
4531,0.52,0.97,3,185,2,0,0,low,0
4729,0.2,0.53,3,149,4,0,1,low,0
1041,0.11,0.89,6,309,4,0,0,medium,1
2939,0.52,0.67,4,210,3,1,0,low,0
4014,0.66,0.92,4,229,2,0,0,low,0
1247,0.43,0.49,2,155,3,0,0,medium,1
3780,0.51,0.6,5,175,3,0,0,medium,0
4709,0.81,0.97,3,247,3,0,0,medium,0
3105,0.96,0.82,4,274,3,0,0,medium,0
4982,0.8,0.96,5,124,3,0,0,low,0
898,0.3,0.56,3,309,4,1,0,low,1
1581,0.49,0.73,4,244,3,0,0,low,1
4821,0.67,0.83,4,195,3,0,0,medium,0
2074,0.39,0.78,2,205,6,1,0,low,0
4372,0.18,0.84,4,231,5,0,0,low,0
1068,0.45,0.57,2,136,3,0,0,low,1
337,0.77,0.87,5,266,5,0,0,medium,1
3429,0.71,0.67,3,264,3,0,0,medium,0
2945,0.65,0.98,3,283,2,1,0,low,0
1601,0.11,0.93,7,296,4,0,0,low,1
4478,0.83,0.9,3,195,3,0,0,low,0
2149,0.68,0.73,3,257,3,0,0,low,0
3648,0.95,0.59,4,235,3,0,0,medium,0
4871,0.99,0.95,4,102,5,0,0,low,0
4973,0.63,0.8,4,243,2,0,0,medium,0
138,0.42,0.48,2,129,3,0,0,low,1
1630,0.86,0.97,5,269,5,0,0,medium,1
4760,0.65,0.65,4,224,3,0,0,low,0
2499,0.45,0.52,2,105,3,0,0,low,0
3994,0.74,0.59,4,177,4,1,0,medium,0
2216,0.89,0.56,3,256,3,0,0,medium,0
2447,0.61,0.51,3,156,3,1,0,medium,0
2707,0.43,0.68,3,197,2,0,0,low,0
3464,0.79,0.61,4,136,3,0,0,medium,0
2159,0.55,0.81,4,260,2,0,0,low,0
2533,0.75,0.87,4,193,3,0,0,medium,0
1196,0.8,0.85,4,264,5,0,0,medium,1
3031,0.59,0.65,5,161,2,0,0,medium,0
415,0.91,0.97,5,233,5,0,0,medium,1
1641,0.91,0.89,5,217,5,0,0,low,1
4570,0.55,0.62,5,226,3,0,0,medium,0
2270,0.72,0.79,5,260,2,0,0,low,0
2241,0.61,0.97,3,137,3,0,0,low,0
4910,0.81,0.86,3,210,3,0,0,low,0
289,0.82,0.91,5,232,5,0,0,low,1
425,0.45,0.46,2,130,3,0,0,low,1
431,0.89,0.65,5,195,6,0,0,low,1
1415,0.39,0.47,2,131,3,0,0,low,1
2592,0.21,0.61,3,173,2,0,0,low,0
3261,0.58,0.76,3,220,3,0,0,medium,0
3169,0.71,0.62,3,258,2,0,0,medium,0
4788,0.87,0.9,4,163,2,0,0,medium,0
2417,0.81,0.68,5,230,2,0,0,medium,0
3384,0.54,0.98,3,217,3,0,0,medium,0
4666,0.63,0.93,3,236,4,0,0,high,0
811,0.84,0.93,5,236,5,0,0,medium,1
1782,0.44,0.51,2,135,3,0,0,medium,1
4612,0.92,0.51,5,214,3,0,0,low,0
4515,0.77,0.77,3,219,2,0,0,medium,0
1049,0.44,0.5,2,132,3,0,0,low,1
4374,0.87,0.51,4,233,3,0,0,low,0
551,0.11,0.96,6,298,4,0,0,low,1
3336,0.74,0.85,5,135,2,0,0,low,0
3241,0.91,0.73,3,155,3,0,0,low,0
4507,0.74,0.7,5,135,2,0,1,medium,0
2023,0.75,0.7,4,144,4,0,0,high,0
2501,0.24,0.5,5,174,4,0,0,low,0
3936,0.55,0.57,3,266,2,0,0,medium,0
1318,0.37,0.51,2,127,3,0,0,medium,1
4826,0.95,0.53,4,162,3,0,0,medium,0
2777,0.52,0.72,3,253,3,0,0,low,0
2679,0.79,0.61,5,96,4,0,0,medium,0
3542,0.79,0.91,3,226,2,0,0,low,0
4003,0.34,0.85,4,123,4,0,0,medium,0
4898,0.85,0.81,4,164,4,0,0,medium,0
4430,0.76,0.57,5,139,4,0,0,medium,0
4484,0.73,0.74,5,230,3,0,0,low,0
4807,0.6,0.56,4,138,3,0,0,low,0
258,0.42,0.54,2,156,3,0,0,medium,1
1422,0.86,0.93,5,241,5,1,0,low,1
1243,0.1,0.85,6,297,5,0,0,high,1
2801,0.94,0.75,5,238,2,0,0,medium,0
2143,0.91,0.56,4,270,2,0,0,medium,0
2747,0.94,0.9,2,263,3,0,0,low,0
4600,0.49,0.56,4,260,6,0,0,low,0
2874,0.77,0.93,5,182,4,0,0,medium,0
12,0.11,0.81,6,305,4,0,0,low,1
3264,0.58,0.73,3,165,2,0,0,medium,0
4467,0.59,0.95,5,254,2,0,0,medium,0
1954,0.43,0.57,2,159,3,1,0,low,1
2546,0.52,0.38,6,169,3,0,0,low,0
3724,0.48,0.73,5,152,6,0,0,medium,0
1190,0.36,0.51,2,155,3,0,0,low,1
3840,0.78,0.87,3,190,3,0,0,low,0
1633,0.42,0.5,2,128,3,0,0,high,1
761,0.1,0.9,7,290,4,0,0,low,1
1811,0.43,0.48,2,157,3,0,0,low,1
2725,0.68,0.48,4,251,4,0,0,high,0
4117,0.17,0.41,4,232,3,1,0,medium,0
4385,0.48,0.77,3,197,3,0,0,medium,0
3883,0.9,0.85,5,162,2,0,0,medium,0
3393,0.81,0.7,4,219,2,1,0,medium,0
4419,0.75,0.69,2,257,2,1,0,low,0
3247,0.21,0.9,2,239,2,0,0,low,0
4950,0.76,0.89,4,181,3,0,0,low,0
114,0.9,0.96,4,258,5,0,0,medium,1
2101,0.56,0.94,4,215,2,0,0,high,0
3818,0.28,0.38,5,139,4,0,0,medium,0
633,0.11,0.89,6,260,5,0,0,low,1
1635,0.39,0.48,2,127,3,0,0,medium,1
4769,0.93,0.96,3,268,4,0,0,low,0
3763,0.2,0.95,5,169,5,0,0,medium,0
4246,0.91,0.97,4,183,3,0,0,low,0
3473,0.79,0.48,4,178,2,0,0,low,0
1997,0.11,0.92,7,293,4,0,0,low,1
589,0.87,0.9,5,258,5,0,0,low,1
2706,0.65,0.86,4,264,2,1,0,low,0
4976,0.86,0.94,5,209,4,0,0,low,0
650,0.46,0.5,2,156,3,0,0,medium,1
1620,0.39,0.48,2,151,3,0,0,low,1
1078,0.8,0.95,5,244,5,0,0,medium,1
1257,0.41,0.48,2,126,3,0,0,low,1
471,0.1,0.85,6,260,4,0,0,low,1
2917,0.12,0.47,3,258,5,0,0,medium,0
3610,0.95,0.71,3,263,2,1,0,medium,0
4789,0.93,0.74,2,169,4,0,0,low,0
2457,0.53,0.67,4,238,2,0,0,medium,0
2174,0.35,0.58,3,229,6,1,0,medium,0
321,0.41,0.54,2,153,3,1,0,low,1
4317,0.5,0.51,5,238,4,0,0,medium,0
2049,0.48,0.85,3,279,4,0,0,low,0
720,0.8,1.0,5,260,5,0,0,low,1
152,0.45,0.56,2,154,3,0,0,low,1
3775,0.55,0.74,3,211,3,1,0,high,0
2559,0.53,0.73,4,248,2,0,0,medium,0
528,0.09,0.9,7,289,4,0,0,low,1
1741,0.37,0.53,2,140,3,0,0,medium,1
3462,0.77,0.65,4,164,2,0,0,medium,0
2680,0.17,0.9,6,217,6,1,0,medium,0
4132,0.95,0.59,2,154,4,0,0,high,0
2697,0.5,0.55,3,176,3,0,0,low,0
934,0.1,0.96,6,254,4,1,0,medium,1
220,0.89,0.87,5,225,5,0,0,low,1
628,0.41,0.46,2,156,3,1,0,low,1
4059,0.84,0.36,6,256,5,0,0,low,0
2429,0.65,0.86,5,250,3,0,0,low,0
534,0.43,0.51,2,136,3,0,0,medium,1
4951,0.59,0.42,3,196,3,0,0,low,0
4212,0.61,0.9,5,113,3,0,0,medium,0
3976,0.22,0.49,4,218,4,0,0,low,0
4572,0.69,0.92,4,149,2,0,0,medium,0
695,0.78,0.71,3,249,5,0,0,medium,1
3771,0.66,0.69,4,198,3,1,0,medium,0
2858,0.35,0.8,3,137,5,0,0,low,0
3112,0.87,0.71,5,145,4,0,0,medium,0
3670,0.63,0.98,3,160,4,1,0,low,0
638,0.43,0.52,2,147,3,0,0,low,1
752,0.46,0.45,2,138,3,0,1,low,1
2784,0.61,0.93,2,247,3,0,0,low,0
2332,0.82,0.83,3,271,2,0,0,medium,0
999,0.37,0.46,2,155,3,0,0,medium,1
2296,1.0,0.86,4,161,2,0,0,high,0
4567,0.32,0.77,6,112,4,0,0,medium,0
1380,0.37,0.48,2,154,3,0,0,low,1
1619,0.88,0.89,4,254,5,0,0,low,1
80,0.39,0.56,2,142,3,0,0,low,1
3375,0.72,0.51,3,254,2,0,0,low,0
472,0.44,0.53,2,149,3,0,0,low,1
1299,0.45,0.45,2,131,3,0,0,low,1
3692,0.79,0.93,5,160,4,1,0,medium,0
4149,0.9,0.96,2,258,2,0,0,low,0
1025,0.42,0.47,2,129,3,0,0,low,1
526,0.41,0.56,2,150,3,0,0,low,1
103,0.42,0.46,2,150,3,0,0,medium,1
797,0.45,0.49,2,151,3,0,0,low,1
2843,0.73,0.88,5,204,5,0,0,low,0
873,0.1,0.9,5,263,4,0,0,low,1
4918,0.83,0.72,4,161,3,0,0,low,0
1241,0.43,0.51,2,132,3,0,0,medium,1
3186,0.9,0.74,5,249,3,0,0,medium,0
1064,0.11,0.91,6,302,4,0,0,low,1
2884,0.57,0.6,3,202,3,0,0,medium,0
3952,0.95,0.63,3,249,3,0,0,low,0
9,0.89,1.0,5,224,5,0,0,low,1
3673,0.3,0.71,3,155,2,0,0,low,0
1391,0.11,0.79,6,244,4,1,0,medium,1
3725,0.57,0.86,4,268,6,0,0,medium,0
