EmployeeNumber,MonthlyIncome,MonthlyRate,DailyRate,Age,YearsAtCompany,HourlyRate,YearsWithCurrManager,BusinessTravel,OverTime,NumCompaniesWorked,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,EducationField,TotalWorkingYears,PercentSalaryHike,YearsSinceLastPromotion,JobRole,YearsInCurrentRole,StockOptionLevel,WorkLifeBalance,JobInvolvement,TrainingTimesLastYear,Gender,Department,MaritalStatus,JobLevel,RelationshipSatisfaction,StandardHours,PerformanceRating,Over18,EmployeeCount,Education
2.0,0.0,5.0,6.0,1.0,1.0,1.0,0.0,1931.0,2226.0,6073.0,1354.0,27.0,5.0,41.0,2.0,1.0,2.0,2.0,2.0,6.0,11.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,80.0,3.0,1.0,4.0
1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,428.0,11878.0,23364.0,553.0,33.0,10.0,74.0,8.0,6.0,5.0,2.0,4.0,12.0,11.0,8.0,6.0,2.0,3.0,3.0,2.0,3.0,2.0,80.0,3.0,1.0,4.0
2.0,0.0,3.0,7.0,1.0,2.0,1.0,0.0,1588.0,8237.0,4658.0,1462.0,39.0,7.0,38.0,6.0,2.0,6.0,3.0,4.0,11.0,11.0,7.0,6.0,1.0,3.0,4.0,3.0,3.0,1.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,6.0,1.0,1.0,1.0,0.0,1448.0,2127.0,5561.0,1283.0,41.0,4.0,90.0,3.0,2.0,5.0,3.0,2.0,7.0,12.0,0.0,2.0,0.0,2.0,4.0,5.0,1.0,1.0,80.0,3.0,1.0,5.0
1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,1494.0,3172.0,16998.0,381.0,24.0,0.0,89.0,0.0,2.0,9.0,1.0,2.0,4.0,11.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,80.0,3.0,1.0,3.0
1.0,0.0,1.0,7.0,1.0,2.0,1.0,0.0,1716.0,12936.0,24164.0,1093.0,47.0,23.0,82.0,10.0,7.0,9.0,3.0,3.0,25.0,11.0,14.0,5.0,0.0,1.0,1.0,3.0,4.0,3.0,80.0,3.0,1.0,3.0
2.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,1789.0,19328.0,14218.0,734.0,46.0,2.0,46.0,2.0,7.0,2.0,4.0,3.0,24.0,17.0,2.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,80.0,3.0,1.0,4.0
2.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,565.0,2546.0,18300.0,408.0,29.0,2.0,71.0,1.0,5.0,25.0,2.0,3.0,6.0,16.0,1.0,2.0,0.0,4.0,2.0,2.0,1.0,2.0,80.0,3.0,1.0,5.0
0.0,1.0,5.0,7.0,0.0,2.0,1.0,0.0,475.0,4736.0,6069.0,641.0,30.0,2.0,85.0,2.0,7.0,25.0,3.0,4.0,4.0,12.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,80.0,3.0,1.0,2.0
2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1782.0,3702.0,16376.0,1153.0,38.0,5.0,40.0,4.0,1.0,6.0,3.0,4.0,5.0,11.0,0.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0,80.0,3.0,1.0,2.0
